X,Dam_Name,Continent,Lat,Long,Source,Flag,Article_source,ORD_FLOW,storage,up_area_sk,dem,underground,sgr_dk_rav,row_max_tmin,row_max_q
1139,DUIVELSKLOOF DAM,Africa,-23.67722222,30.13472222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35028dams with location,catchment,and attribute information",7,0.088,10.4189,887,702,155,18.8,7.7
1285,MAMBETAM DAM,Africa,-25.11805556,31.02122222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35029dams with location,catchment,and attribute information",7,0.228,66.6476,916,548,268,17.5,9.1
1844,RIETSPRUIT DAM 2,Africa,-26.73833333,28.30527778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35030dams with location,catchment,and attribute information",8,0.24,23.5795,1550,378,53,14.4,8.5
2579,VLAKSPRUIT DAM,Africa,-29.41666667,30.175,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35031dams with location,catchment,and attribute information",6,0.13,345.578,1287,532,45,15.3,129.8
2857,GROENVLEI DAM,Africa,-28.95027778,27.60027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35032dams with location,catchment,and attribute information",8,0.2,18.2141,1611,492,82,13.4,30.1
3732,KAAPSEPOORTJIE,Africa,-32.58111111,23.91694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35033dams with location,catchment,and attribute information",9,0.25,16.9996,846,662,49,17.2,2.9
3337,BURNSIDE DAM,Africa,-29.99666667,29.84166667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35034dams with location,catchment,and attribute information",7,0.804,54.4895,1234,526,206,15.8,126.2
1030,WINKELHAAK (NHLANGANINI) DAM,Africa,-23.93333333,31.49611111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35035dams with location,catchment,and attribute information",8,0.14,29.4298,321,543,70,21.4,4
1248,KLIPSPRUITNO.2-DAM,Africa,-24.21944444,28.6875,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35036dams with location,catchment,and attribute information",8,0.091,111.354,1281,639,33,17.8,7.4
3622,KLIPFONTEIN DAM,Africa,-31.93333333,25.96666667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35037dams with location,catchment,and attribute information",8,0.39,104.781,1234,672,58,14.5,4.5
929,STYLDRIFT KOEDOES DAM,Africa,-23.47777778,30.23611111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35038dams with location,catchment,and attribute information",6,0.8,385.238,665,317,39,21.1,5.3
4663,LANGFONTEIN DAM,Africa,-33.26472222,19.57055556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35039dams with location,catchment,and attribute information",7,0.074,14.8996,1185,534,79,13.3,2.2
4531,HOWISONSPOORT DAM,Africa,-33.3875,26.4875,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35040dams with location,catchment,and attribute information",8,0.883,34.2461,505,745,142,17.2,5.9
1700,DOUGLAS WATERS DAM,Africa,-25.98611111,29.33055556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35041dams with location,catchment,and attribute information",7,0.459,112.463,1590,369,39,14.2,8.1
5428,LIBANON-GROOT DAM,Africa,-33.75888889,19.00861111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35042dams with location,catchment,and attribute information",7,0.077,14.4557,276,435,154,17.5,4.8
4775,STEENBRAS UPPER DAM,Africa,-34.16805556,18.90166667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35043dams with location,catchment,and attribute information",7,31.767,33.9241,294,609,36,15.2,5.6
3123,ROODEPOORT DAM (JIMMYROOS),Africa,-29.53438889,26.58802778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35044dams with location,catchment,and attribute information",8,3.601,62.5443,1524,523,50,13.6,16.5
1318,DER  BROCHEN DAM,Africa,-25.05527778,30.12,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35045dams with location,catchment,and attribute information",7,7.3,158.952,1634,698,69,16.4,8.9
5051,FIJNBOSCH DAM 1,Africa,-33.97138889,24.86972222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35046dams with location,catchment,and attribute information",8,0.075,23.4986,245,649,188,17.6,3.4
818,Omatjenne,Africa,-20.41666667,16.48333333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35047dams with location,catchment,and attribute information",7,5.063,850.215,1335,66,0,17.3,7.9
33,Sghir,Africa,35.70833333,-5.383333333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35048dams with location,catchment,and attribute information",7,2.3,28.0576,138,374,38,20.9,10.5
5482,TEEK,Africa,-34.35305556,19.23083333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35049dams with location,catchment,and attribute information",7,0.112,31.191,209,570,169,15.9,5.6
111,Aoulouz,Africa,29.78888889,-9.433333333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35050dams with location,catchment,and attribute information",6,110,2179.58,385,768,37,23.2,2.4
2461,WATERBRON DAM,Africa,-28.75027778,27.61694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35051dams with location,catchment,and attribute information",8,1.633,12.6082,1702,667,110,13.2,27.8
1657,GOLDEN HARVEST DAM,Africa,-26.07111111,27.95555556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35052dams with location,catchment,and attribute information",8,0.129,56.2757,1518,717,129,15.7,86.6
1997,CHRISJOUBERT DAM,Africa,-26.38722222,30.09861111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35053dams with location,catchment,and attribute information",7,0.05,42.0983,1728,282,38,13.3,76
4477,ALL'S WELL DAM,Africa,-33.41472222,26.33805556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35054dams with location,catchment,and attribute information",7,0.492,53.4064,410,734,74,16.6,5.9
3924,BLOU DAM,Africa,-33.15027778,18.98361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35055dams with location,catchment,and attribute information",6,0.35,242.064,437,645,50,18.1,3.1
3086,STAR DAM( WAS INHLUZANIRANCH),Africa,-29.59361111,29.95666667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35056dams with location,catchment,and attribute information",7,0.235,22.9575,1469,508,203,13.3,154.1
16,Beni Ata Amont,Africa,37.20166667,10.04583333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35057dams with location,catchment,and attribute information",7,0.285,0.512959,77,287,67,23.2,4.3
4109,LANGRUGNO.2-DAM - Locality nr should start with E and must be corrected,Africa,-32.90866667,19.23555556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35058dams with location,catchment,and attribute information",7,0.775,16.2166,985,488,27,13.6,2.6
3625,DROGEKLOOFDAM,Africa,-31.91694444,20.08361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35059dams with location,catchment,and attribute information",8,0.16,21.3192,1250,837,92,13.1,1.8
1291,Bokaa,Africa,-25.11555556,25.69,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35060dams with location,catchment,and attribute information",8,2.3,232.676,1218,682,37,17.5,6.2
89,Hassan Addakhil,Africa,31.99388889,-4.461666667,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35061dams with location,catchment,and attribute information",6,369,4404.29,1527,693,122,23.4,1.2
1217,BOKPOORT DAM2 (CRONJE),Africa,-24.365,28.57166667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35062dams with location,catchment,and attribute information",8,0.04,35.5968,1429,768,216,16.5,7.8
4726,LANGNO.2-DAM,Africa,-33.18472222,19.43888889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35063dams with location,catchment,and attribute information",7,0.1,25.3198,1114,378,139,14.4,2.2
2649,GLEN MICKEN DAM-WAS SWYTHERNBY DAM,Africa,-29.32216667,29.74897222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35064dams with location,catchment,and attribute information",8,0.285,10.2907,1648,435,0,14.2,101
181,Kaya Dimassa,Africa,13.1,-1.066666667,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35065dams with location,catchment,and attribute information",8,1.08,11.2895,325,220,23,26.9,67.2
108,Taghdout,Africa,30.62416667,-7.305277778,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35066dams with location,catchment,and attribute information",7,3,296.116,1699,832,67,18.4,7.3
5400,PLAAS 474 DAM 14,Africa,-33.77861111,23.6475,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35067dams with location,catchment,and attribute information",7,0.099,84.3609,768,673,42,16.6,4.9
2651,SHELTEREDVALE DAM,Africa,-29.31694444,29.91694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35068dams with location,catchment,and attribute information",6,0.13,310.859,1473,383,6,14.4,100.4
2755,DAIRY DAM,Africa,-29.18944444,30.30091667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35069dams with location,catchment,and attribute information",8,0.25,20.2359,1506,501,91,14.4,143.7
98,Qattara,Africa,32.02555556,20.40805556,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35070dams with location,catchment,and attribute information",10,135,1285.66,134,320,33,22.9,50.6
2641,OAKDENE DAM,Africa,-29.31694444,29.90027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35071dams with location,catchment,and attribute information",6,0.08,284.479,1473,383,54,14.1,96
5121,DASBOS DAM,Africa,-33.93894444,19.374,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35072dams with location,catchment,and attribute information",7,0.295,1.06861,480,478,0,16.4,13.9
1613,RIETSPRUIT DAM,Africa,-26.16694444,29.21694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35073dams with location,catchment,and attribute information",7,4.64,385.025,1591,278,30,13.3,16.4
3202,HARBIN DAM (SOLG.T.H.),Africa,-30.41744444,28.91280556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35074dams with location,catchment,and attribute information",7,0.073,0.185134,1572,404,111,13.9,40.8
2181,LANGVERWAG DAM,Africa,-27.675,29.14638889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35075dams with location,catchment,and attribute information",8,0.119,112.134,1856,643,93,13.1,7.9
705,Sahamaloto,Africa,-17.42722222,48.30805556,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35076dams with location,catchment,and attribute information",6,15,33.5836,795,70,6,18.8,388.8
4394,KOEKKLOOF DAM,Africa,-33.48622222,21.44338889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35077dams with location,catchment,and attribute information",8,0.142,126.945,916,1070,100,16.4,1.4
4985,DORINGRUG DAM,Africa,-34.01905556,24.70894444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35078dams with location,catchment,and attribute information",8,0.22,32.9281,193,629,197,17.6,3.6
1254,EBENHAEZER DAM,Africa,-24.20277778,28.41694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35079dams with location,catchment,and attribute information",8,0.057,12.3328,1423,754,90,16.5,8.7
1841,VLAKFONTEIND AM,Africa,-26.75027778,29.58361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35080dams with location,catchment,and attribute information",7,0.103,152.082,1661,433,38,13.8,15.6
2229,KOEDOESBERG NO.2-DAM,Africa,-27.48361111,31.66694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35081dams with location,catchment,and attribute information",8,0.3,12.7562,394,634,110,19.6,54.7
4712,NGWEKAZI DAM-CISKEI,Africa,-33.2,27.18333333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35082dams with location,catchment,and attribute information",7,0.67,14.7296,247,514,177,18.2,5.8
3265,KALKHOEK,Africa,-30.24638889,26.96425,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35083dams with location,catchment,and attribute information",8,1.3,10.5715,1566,646,144,12.5,42.6
4875,GROOT DAM,Africa,-34.08472222,19.16916667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35084dams with location,catchment,and attribute information",7,0.364,12.4465,394,536,78,16.4,29.7
3164,VAN ZIJL DAM,Africa,-29.46944444,26.61111111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35085dams with location,catchment,and attribute information",8,0.06,99.5386,1524,523,50,13.8,15
1882,"ONVERWACHT RESERVOIRS NO.1,2 & 3",Africa,-26.65527778,30.255,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35086dams with location,catchment,and attribute information",7,0.212,14.7751,1673,275,21,13.4,64
5161,WANSBEK A NUWE DAM,Africa,-33.90555556,19.66361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35087dams with location,catchment,and attribute information",7,0.179,155.794,468,601,38,17.8,3.6
2193,KROMDRAAI DAM,Africa,-27.65877778,28.86597222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35088dams with location,catchment,and attribute information",8,0.165,19.0069,1646,481,72,14,16.5
1578,WITKLIP DAM,Africa,-25.23611111,30.9,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35089dams with location,catchment,and attribute information",7,12.97,66.0378,1128,518,144,16.8,9.7
3818,SAM MEYER DAM,Africa,-32.32333333,27.14222222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35090dams with location,catchment,and attribute information",6,1.562,298.624,1339,417,56,14.2,7.8
5465,WOLWEGAT DAM,Africa,-34.65833333,19.66875,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35091dams with location,catchment,and attribute information",7,0.074,13.9532,115,772,108,17,3.5
4426,BEGRAFPLAAS DAM,Africa,-33.48777778,22.55583333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35092dams with location,catchment,and attribute information",7,0.278,696.716,924,702,103,16.6,2.5
2211,DUMFIRMLINE HOUSE DAM,Africa,-27.58055556,29.88055556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35093dams with location,catchment,and attribute information",7,120,382.174,1301,316,50,15.5,7.5
1006,FEDMIS GYPSUM DAM B,Africa,-23.98416667,31.09138889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35094dams with location,catchment,and attribute information",8,0.478,18.4379,389,519,58,21.9,3.8
3921,HOOP+UITKOMS NR.2 DAM,Africa,-33.15833333,19.53333333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35095dams with location,catchment,and attribute information",7,0.326,56.0676,1185,534,106,13.7,2.2
4226,GALLANTSKLOOF DAM,Africa,-32.70027778,25.88361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35096dams with location,catchment,and attribute information",6,0.151,18441,683,655,17,16,4.3
3615,NUWEDAM,Africa,-31.95077778,21.51691667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35097dams with location,catchment,and attribute information",8,0.6,177.547,1437,1168,57,15.6,2.5
5024,DUIVENHOKS DAM,Africa,-33.99666667,20.94888889,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35098dams with location,catchment,and attribute information",7,6.32,143.484,525,803,73,16.7,1.6
2615,EASTMESHLYNN TOPS DAM,Africa,-29.3675,29.73361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35099dams with location,catchment,and attribute information",7,0.062,108.305,1976,541,95,13.9,105.2
3881,FAIRVIEW BIG DAM,Africa,-32.14691667,26.36030556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35100dams with location,catchment,and attribute information",7,0.32,92.6202,1554,642,138,12.1,6
5344,VRYDOMK1-DAM,Africa,-33.81694444,23.70027778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35101dams with location,catchment,and attribute information",8,0.06,12.1296,726,670,71,16.2,5.3
4700,COTSWOLD DAM,Africa,-33.21388889,26.71805556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35102dams with location,catchment,and attribute information",8,0.077,36.6223,379,578,366,17.9,5.4
4310,GRIETJIESDRIF DAM,Africa,-33.6525,19.23222222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35103dams with location,catchment,and attribute information",7,0.091,34.1264,533,469,111,16.4,4.2
2722,HLATIKULU DAM,Africa,-29.25027778,29.67861111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35104dams with location,catchment,and attribute information",7,0.085,31.8286,1607,384,62,14.1,102.6
2865,THECHASE,Africa,-28.91805556,31.475,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35105dams with location,catchment,and attribute information",7,0.06,9.77023,285,452,185,19.5,328
3746,FARM 82 DAM 1,Africa,-32.54444444,26.12833333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35106dams with location,catchment,and attribute information",8,0.09,0.723811,1121,791,197,13.2,5.9
1057,TP-SLOOT DAM,Africa,-23.84861111,30.49166667,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35107dams with location,catchment,and attribute information",8,0.15,18.8465,556,442,57,21.2,4.8
5200,GOUDMYN ZUIDR-GROOT,Africa,-33.89066667,20.02561111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35108dams with location,catchment,and attribute information",5,0.15,6690.49,222,581,13,18.4,2.3
3215,MOUNTAIN DAM,Africa,-30.36694444,28.79722222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35109dams with location,catchment,and attribute information",7,1.082,12.0363,1624,459,400,13.9,18.4
1551,VERGENOEG DAM,Africa,-25.35833333,31.90277778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35110dams with location,catchment,and attribute information",5,1.377,10148.4,214,258,13,20,7.1
3127,LAURENS DAM,Africa,-29.53555556,29.71833333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35111dams with location,catchment,and attribute information",6,0.3,146.516,1588,483,143,13.4,107.9
4695,RIVIER DAM,Africa,-33.24055556,19.23777778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35112dams with location,catchment,and attribute information",7,0.145,16.5195,1034,490,171,13.8,2.8
910,Oanob,Africa,-23.15,16.93333333,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35113dams with location,catchment,and attribute information",7,34.51,522.597,1670,898,40,15.9,5.8
3117,SYPHON DAM,Africa,-29.53361111,31.11694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35114dams with location,catchment,and attribute information",6,0.36,260.324,110,388,80,20.8,334.6
3136,CORRIELYNN DAM,Africa,-29.50547222,30.11755556,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35115dams with location,catchment,and attribute information",6,0.1,298.665,1330,508,82,15.3,140.8
849,Pioneer (or Makado),Africa,-21.47388889,29.66277778,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35116dams with location,catchment,and attribute information",7,10.91,681.571,698,162,26,19.7,4.2
2779,CRAIGIE BURN,Africa,-29.16333333,30.28694444,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35117dams with location,catchment,and attribute information",7,23.07,147.435,1321,596,113,14.6,153.1
4872,RIETRIVIER DAM,Africa,-34.07277778,24.36802778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35118dams with location,catchment,and attribute information",8,0.059,12.0921,216,683,131,16.9,4.2
2541,FERNDALE DAM (previously C403/48),Africa,-28.47408333,27.94811111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35119dams with location,catchment,and attribute information",8,0.119,23.7735,1773,636,81,13.6,27.7
345,Banieya,Africa,9.958333333,-12.99722222,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35120dams with location,catchment,and attribute information",5,223,547.7,393,347,128,24.2,838
369,Natiokobadara,Africa,9.335833333,-5.656944444,"AQUASTAT, GRAND",record,"Global Dam Tracker:A database of more than 35121dams with location,catchment,and attribute information",7,3.6,55.6999,354,150,40,23.9,68.1
5041,BLAAUWKLIPPEN DAM,Africa,-33.97277778,18.84972222,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35122dams with location,catchment,and attribute information",7,0.079,31.1458,187,502,154,16.8,5.4
3787,RUSOORDDAM,Africa,-32.41694444,20.38361111,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35123dams with location,catchment,and attribute information",8,0.12,61.5667,1425,793,46,12.7,2.4
2393,BRAKWAL DAM,Africa,-27.85908333,29.02577778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35124dams with location,catchment,and attribute information",7,0.48,67.1564,1735,572,61,13.9,12.1
967,SHINGWIDZI DAM,Africa,-23.075,30.65333333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35125dams with location,catchment,and attribute information",7,1.312,64.9657,554,513,41,21,5.4
1425,PLANTATION BELFAST 2 DAM,Africa,-25.61027778,30.02583333,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35126dams with location,catchment,and attribute information",7,1.112,114.444,1912,445,10,11.9,43.3
4749,REMHOOGTE NO.2-DAM,Africa,-34.19944444,19.02527778,ZA Department of Water and Sanitation,record,"Global Dam Tracker:A database of more than 35127dams with location,catchment,and attribute information",7,0.196,0.355044,464,512,242,16.3,7.7
