"X","Dam_Name","Continent","Lat","Long","Source","Flag","Article_source","ORD_FLOW","Capacity","up_area_sk","row_min_ppt","sgr_dk_rav","row_min_tmax","row_max_aet","row_median_q","row_max_ppt","row_min_PDSI","row_min_soil","underground"
271,"Beles","Africa",11.68958333,37.15208333,"http://infrastructureafrica.org/system/files/BP9_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",5,460,3586.97,0.4,5,24,121.9,0.7,419,-5.3,24.3,86
718,"Nengo Bridge","Africa",-0.814583333,29.83337,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",5,6.5,1796.48,24.6,101,26.3,102.5,3.95,234.5,-4.19,25.1,642
574,"Ndieliesso","Africa",5.94375,-3.43125,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",4,90,75735.6,4.3,27,27.9,139.1,4.2,317.7,-5.3,104,124
135,"Merowe ","Africa",18.559401,31.86458333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,1250,2348680,0,4,26.6,2.3,0,2.4,-6,0.1,281
713,"Kikagati","Africa",-1.029090167,30.67924317,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",4,16,42240.4,5,12,27.7,108.6,3.2,165.7,-5.78,4.2,476
543,"Baro Ii","Africa",7.12083467,35.37499867,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,180,2113.19,19.2,114,28.4,136.4,5.95,284.2,-8.28,42.7,557
567,"Jomuro","Africa",5.769795,-2.682295,"http://infrastructureafrica.org/system/files/BP5_PowerSpending_maintxt%20new.pdf","record","A global boom in hydropower dam construction",5,26,1509.6,11,20,28.4,136.1,5.25,274.3,-5.08,106.9,157
127,"Dal ","Africa",21.320081,30.86041667,"http://www.fao.org/nr/water/faonile/WaterInfrastructure.pdf","record","A global boom in hydropower dam construction",10,450,36.5838,0,52,23.1,0.3,0,0.3,-4.11,0.1,464
422,"Amerti-Neshi ","Africa",9.898696,37.33541667,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,40,879.694,1.6,68,24.8,120.3,1.4,303.4,-3.64,13.7,274
336,"Morisanako","Africa",10.21875,-8.686123,"http://www.ecowrex.org//morisanako-guinee","record","A global boom in hydropower dam construction",4,100,8324.97,0,10,30.2,142.8,4.4,366.2,-4.94,29,126
928,"Popa Falls ","Africa",-18.01041667,21.380649,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,20,230354,0,4,25.7,129.5,0.75,204.3,-3.06,7.4,99
705,"Lupata","Africa",-0.427083333,37.94375,"http://www.iol.co.za/business/features/planned-power-s-will-beat-southern-africa-s-energy-blues-1.1305571?ot=inmsa.ArticlePrintPageLayout.ot","record","A global boom in hydropower dam construction",4,600,15290.9,0,69,29.6,85.6,0.2,89.9,-6.51,5.5,448
337,"Kal®¶ta ","Africa",10.41458333,-13.195504,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,200,10796.7,0,4,29.6,158.2,5.3,1281.1,-1.67,79.5,304
661,"Chollet","Africa",2.20625,14.59791667,"http://www.congo-site.com/Relance-du-projet-de-construction-du-barrage-de-Chollet_a13390.html","record","A global boom in hydropower dam construction",4,600,33228.4,13.9,20,29.9,121.7,4.85,269.9,-8.82,28.8,365
677,"Muzizi","Africa",0.9662055,30.5462945,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",5,26,3653.42,4.9,707,29.9,115.5,3.9,144.6,-7.5,10.5,235
801,"Songwe","Africa",-9.703207667,33.91987433,"http://www.comesa.int/attachments/article/842/Songwe%20River%20Basin%20Development%20%20Programme%20-%20%20Profile%20-%2019052013%20-%20Draft%201.pdf","record","A global boom in hydropower dam construction",5,153,4095.73,0.1,16,27.3,118,2.9,390.5,-5.06,35.4,35
650,"Lakki","Africa",4.128655,31.58125,"http://www.fao.org/nr/water/faonile/WaterInfrastructure.pdf / http://africanspotlight.com/2011/09/south-sudan-to-build-hydropower-dam-along-nile-river/","record","A global boom in hydropower dam construction",3,410,464099,2.3,13,31.3,124.5,3.35,172.4,-7.59,7.4,329
306,"Balassa","Africa",10.70856333,-11.09560333,"http://dev.ecowrex.org//balassa-guinee","record","A global boom in hydropower dam construction",5,181,1265.52,0,4,30.1,146.9,2.1,506.9,-5.98,34.4,263
457,"Rio Tinto Bayla","Africa",8.6950965,-8.7200965,"http://www.ecowrex.org/eg/rio-tinto-bayla","record","A global boom in hydropower dam construction",6,21.1,146.227,0,15,27.9,148.2,7.45,286,-5.05,25.9,119
2636,"Orange Falls","Africa",-28.845839,19.25208333,"http://aurecon.webfoundryza.com/assets/files/109903%20Orange%20Falls%20Hydro/Eng~Non%20Tech%20Sum%20281013.pdf","record","A global boom in hydropower dam construction",4,30,762106,0.3,25,23.8,105.4,0.15,110.9,2.65,0,941
827,"Mujila Falls Mini","Africa",-11.51458333,24.773437,"http://cdm.unfccc.int/search?q=Mujila+Falls+Mini","record","A global boom in hydropower dam construction",5,1.4,1176.05,0,58,24.1,96.3,8.55,338,-2.05,43.8,266
809,"Nyanga ","Africa",-9.7976915,15.4398085,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,480,110781,0,44,27,112.4,3.7,271.9,0.99,24.9,483
129,"Kajbar ","Africa",19.93541667,30.527229,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,360,2592690,0,6,24.5,1.6,0,1.7,-4.69,0,312
560,"Mambila ","Africa",6.68125,11.175433,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,10000,1827.41,0,10,25.3,123.4,6.2,325.7,-7.5,49.3,348
860,"Kafue Gorge Lower ","Africa",-15.87005,28.53255,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,600,154135,0,202,25.2,138.5,1.35,275.8,-2.35,32.1,832
857,"Mphanda Nkuwa ","Africa",-16.01875,33.455854,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999 / Hydro 4 Africa
","record","A global boom in hydropower dam construction",7,1350,100.098,0.7,138,28.6,143.9,1.1,316.6,-0.94,10.8,518
136,"Shereik ","Africa",18.72291667,33.63327,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,420,2270220,0,0,26.8,9.2,0,9.7,-4.82,0,213
647,"Fula","Africa",3.954004,31.708496,"http://www.fao.org/nr/water/faonile/WaterInfrastructure.pdf / http://africanspotlight.com/2011/09/south-sudan-to-build-hydropower-dam-along-nile-river/","record","A global boom in hydropower dam construction",3,890,463110,2.9,18,31.2,135.5,3.75,155.4,-7.17,12.4,387
630,"Lom Pangar ","Africa",5.197664,13.37291667,"International Rivers Africa / IHA/ https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,30,51172.7,0,3,27,128.8,5.85,222.1,-12.32,57.5,179
593,"Son Mbengue","Africa",6.014583333,10.03541667,"http://caa-cam.org/index.php?pid=292","record","A global boom in hydropower dam construction",5,930,504.095,0,185,26.1,125.1,6.95,440,-6.92,59.9,342
805,"Lumangwe Falls ","Africa",-9.55208333,29.24583333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",8,210,19.8984,0,169,25.6,112,5.55,388.8,-4.23,44.4,314
601,"Asouso","Africa",5.26875,-2.160416667,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",5,51,6429.57,19.1,8,27.6,130.3,5.2,354.5,-3.93,177,321
674,"Waki","Africa",1.766116,31.36875,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",6,5,518.404,4.4,247,30,134.6,2.85,144.3,-8.07,7.5,138
118,"New Assuit Dam","Africa",27.19375,31.19375,"http://www.arteliagroup.com/sites/default/files/projet/fichesPDF/en/energy/energie_hydroelec_egy_new_assiut_dam_hydropower_plant.pdf / http://en.wikipedia.org/wiki/Assiut_Barrage","record","A global boom in hydropower dam construction",3,43.2,2874630,0,6,19,3.4,0,3.6,0.22,0.1,88
564,"Boutoubre","Africa",5.758788,-6.610416667,"FAO","record","A global boom in hydropower dam construction",4,156,62991.8,2.5,6,28.5,127.1,5.1,219.3,-5.02,42.4,65
653,"Mekin","Africa",3.272146,12.41875,"IHA Hydro report,  http://diasporacamerounaise.com/index.php/politique/208-mekin-dam-project-kicks-off-early-2013-paul-biya","record","A global boom in hydropower dam construction",4,15,10752.8,6.6,13,27.7,132.5,5.1,396.8,-3.21,75.2,62
330,"Kulpwan","Africa",10.11458333,-1.927083333,"http://www.ecowrex.org/eg/kulpwan","record","A global boom in hydropower dam construction",5,36,6680.97,0,7,29.7,141.7,2.15,225.7,-4.44,23.2,181
819,"Luapula ","Africa",-10.342581,28.62708333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,700,159983,0,2,27.5,118.8,3.05,313.5,-6.58,44,58
288,"Batchanga","Africa",11.2087565,1.8037435,"http://infrastructureafrica.org/system/files/library/2011/05/BP09_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",5,15,2880.45,0,8,30.4,144.1,1.6,287.6,-6.51,21,141
565,"Malamasso","Africa",5.76875,-3.433333,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",4,90,76076.2,7.3,5,27.9,137.6,3.9,330.9,-4.61,103.6,164
750,"Kouembali","Africa",-2.897916667,14.94791667,"http://www.africanpower.co.uk/operations/kouembali-.aspx","record","A global boom in hydropower dam construction",4,150,3808.45,4.8,137,29.3,117.5,8.6,378,-3.62,31.3,295
466,"Olougbe","Africa",8.797916667,2.202083333,"http://infrastructureafrica.org/system/files/library/2011/05/BP09_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",5,42,16167.5,0,13,28.6,124.7,3.15,183.5,-6.46,10.4,237
480,"Bui ","Africa",8.27791633,-2.23624967,"http://www.buipowerauthority.com/bui_project_leaflet.pdf /","record","A global boom in hydropower dam construction",4,400,131353,0,19,29.2,150.9,4.1,158.8,-5.44,8.6,293
153,"Gourbassi","Africa",14.43958333,-11.411734,"http://www.ecowrex.org/eg/gourbassi","record","A global boom in hydropower dam construction",4,21,250978,0,0,32.1,132.3,0.6,236.4,-4.91,9,83
302,"Pwalagu","Africa",10.60208333,-0.831242,"http://www.modernghana.com/news/72421/1/four-hydro-dams-in-the-pipeline.html","record","A global boom in hydropower dam construction",4,48,57782.9,0,6,30,132.7,2.05,347.8,-3.13,20.2,220
191,"Kenie","Africa",12.8322665,-7.5927335,"http://www.africanmanager.com/site_eng/detail_article.php?art_id=16684 / http://www.ecowrex.org/eg/kenie","record","A global boom in hydropower dam construction",3,42,116138,0,3,30.5,144.5,1.4,303.8,-3.77,17.1,218
563,"Gibe 4 ","Africa",6.41339583,36.74077083,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",6,1700,481.79,21.1,158,26.2,142.3,4.7,172.1,-8.98,30,910
458,"Bitmai I - Ii","Africa",8.734181167,-11.68834783,"http://infrastructureafrica.org/system/files/BP5_PowerSpending_maintxt%20new.pdf","record","A global boom in hydropower dam construction",5,89,1604.2,0.8,141,28.3,133.1,9.1,821,-4.5,169.7,214
709,"Song'Oro ","Africa",-0.39373233,34.91456567,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,20,3359.87,50.6,34,28,128.1,4.75,161.7,-4.87,12.2,231
833,"Lusiwasi Extension","Africa",-13.235409,31.972909,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,220,4435.29,0,16,29,127.6,1.5,313.9,-3.99,25.2,12
515,"Bini Warak","Africa",7.497916667,13.8833,"http://www.businessincameroon.com/?option=com_k2&view=item&id=3561:cfaf-85-billion-to-construct-warak-bini-dam&Itemid=465&tmpl=component&print=1","record","A global boom in hydropower dam construction",5,75,1392.87,0,133,26.8,113.7,5.4,331.9,-8.48,28.1,145
583,"Kojokrom","Africa",6.214578333,-2.577088333,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",5,36,8318.51,9,1,28.6,137.9,4.95,271.7,-5.88,31.7,138
664,"Karuma ","Africa",2.24375,32.232269,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,250,348220,8,56,28.9,134.4,3.4,161.3,-8.12,13.4,117
868,"Mpatamanga ","Africa",-15.716417,34.72708333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,260,138837,1.8,56,25.8,123.8,1.75,357.8,-1.71,24.5,308
807,"Rumakali","Africa",-9.3670255,33.7920255,"http://www.pietrangeli.com/Rumakali / McCartney. M. P. 2007 /","record","A global boom in hydropower dam construction",6,525,250.217,0.5,168,25.7,114.6,4.75,448.5,-4.62,27.9,335
700,"Rwimi","Africa",0.390055,30.18125,"http://en.wikipedia.org/wiki/List_of_power_stations_in_Uganda","record","A global boom in hydropower dam construction",7,5.6,254.362,18.5,119,27.6,106.3,4.4,194.8,-4.58,16.2,386
419,"Aleltu East","Africa",9.78,38.83125,"http://www.eappool.org/eng/pub/masterplan/Final%20Master%20Plan%20Report%20Appendix%20B%20Part%20II.pdf","record","A global boom in hydropower dam construction",5,186,2863.28,1.8,82,23.3,106.6,0.8,234.8,-5.24,6.1,612
880,"Baynes ","Africa",-16.99375,13.398383,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,480,96516.2,0,7,27.3,119.2,0.15,125.5,-3.7,0.9,504
800,"Lauka ","Africa",-9.48125,15.08958333,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",6,1000,593.982,0.7,31,26.4,104.7,2.75,310.4,2.14,25,375
542,"Baro I","Africa",7.11875,35.378149,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",5,170,2111.91,21.8,114,27.5,141,6.7,282.6,-8.67,48.2,557
165,"Felou ","Africa",14.188507,-11.236493,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,60,147558,0,3,31.3,139.6,0.6,251.2,-3.9,12.8,389
398,"Grandes Chutes 2","Africa",9.941219833,-13.08705317,"http://www.ecowrex.org/eg/grandes-chutes-2","record","A global boom in hydropower dam construction",5,27,821.995,0,38,29,160.1,6.3,1155.9,-2.73,72.3,306
520,"Wabe-Shebelle","Africa",7.449945833,42.11672083,"http://www.mowr.gov.et/index.php?pagenum=4.3&pagehgt=1000px","record","A global boom in hydropower dam construction",4,87.75,56139.5,0,13,32.9,61.6,0.3,64.8,-7.01,1.7,587
285,"Tiopo","Africa",11.575898,-10.86875,"http://www.ecowrex.org/eg/tiopo","record","A global boom in hydropower dam construction",4,120,14334.5,0,7,30,160.8,0.85,348.5,-4.72,34.9,269
507,"Gozoguezia","Africa",7.764583333,-9.310416667,"http://infrastructureafrica.org/system/files/BP9_Irrig_spdg_xctry_annex.pdf","record","A global boom in hydropower dam construction",4,48,5029.66,2.8,9,29.7,127,7.4,432.2,-5.09,79,107
663,"Memve' Ele ","Africa",2.43146983,10.45230317,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",4,200,26246.7,27.8,54,27.6,122.6,23.15,409.9,-4.89,24.5,94
428,"Diaraguela","Africa",9.322916667,-8.614583333,"http://www.ecowrex.org/eg/diaraguela","record","A global boom in hydropower dam construction",5,72,3798.29,0,10,28.7,125.1,5.6,319.7,-5.09,30,140
275,"Koukoutamba","Africa",11.150203,-11.524797,"http://www.ecowrex.org/eg/koukoutamba","record","A global boom in hydropower dam construction",4,281,8637.05,0,20,28.4,142.3,1.6,441.6,-5.07,32.8,370
510,"Louga","Africa",7.802083333,-10.007572,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",4,280,4156.6,5.3,14,29.8,132.1,11.3,599.8,-7.44,129.5,146
573,"Ndieliesso","Africa",5.94375,-3.43125,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",7,90,75735.6,4.3,59,27.9,139.1,4.2,317.7,-5.3,104,124
686,"Bujagali ","Africa",0.4975,33.14,"International Rivers Africa / https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=109377500013281633339.00048a42746d17baf5556&t=h&source=embed&ll=-4.86,14.015&spn=48.680001,54.349999.
","record","A global boom in hydropower dam construction",3,250,265445,24.7,28,27.8,122.1,4.9,179.1,-7.06,8.7,266
609,"Cestos","Africa",5.505671167,-9.527662167,"http://www.ecowrex.org/eg/cestos","record","A global boom in hydropower dam construction",4,41,12639.2,60.6,15,29.2,132.5,114.25,951.7,-1.75,102.6,62
530,"Tayaboui","Africa",7.104168333,-7.062501667,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/05/13/000333038_20110513014421/Rendered/PDF/618110v30WP0BP00Box358352B00PUBLIC0.pdf","record","A global boom in hydropower dam construction",4,100,34832.2,0.3,6,28.3,123.5,4.45,282.4,-5.23,44.4,90
